Men_name,Men_height
Anthony Attenborough,70.0
James Curran,69.0
Charles Cusumano,64.0
David Fayngersh,70.0
Michael Graham,70.0
Eslam Hussein,67.0
Maxim Kleyer,70.0
William Kwan,68.0
Julian Lopez,68.0
Dylan Martinson,73.0
Hassan Matar,70.0
David Poggioli,73.0
Elliot Radov,73.0
Josiah Rivera,68.0
Sam Rozenfeld,67.0
Nicholas Tartaglione,72.0
Ahmed Algendy,73.0
Aanas Aybakar,72.0
George Molina,72.0
Wood-by Paulemont,69.0
Richard Reyes,66.0
Jeremy Sapeg,70.0
Alex Winter,72.0
Ethan Abramov,73.0
Adam Byrne,73.0
Dylan Cellamare,67.0
Floyd Diaz,70.0
Vicent Dominguez Romero,70.0
Youssef  Elkhouly,75.0
Ramiel Fayngersh,71.0
Eric Goldshteyn,68.0
Michael Guzman,70.0
Christos Hamakiotes,69.0
Duncan Huie,69.0
Samuel Liao,65.0
Jordan Lin,69.0
Eric Mayzlin,65.0
Sami Rahman,70.0
Maxim Reznik,71.0
Luca Shapiro,69.0
Gregory Terentyev,67.0
Valentyn Titarenko,71.0
Leonardo Valdivia,68.0
Daniel Vasilkoff,71.0
Lucas Vasquez,72.0
Stuart Xu,65.0
Daniel Yadgarov,72.0
Aziz Abdusamiev,75.0
Ryan Badre-Hume,74.0
Max Bratkovsky,69.0
Aaron Brijbukhan,73.0
Zurab Chkhartishvili,73.0
Alvaro Gonzalez,69.0
James Lee,68.0
Joshua Natanzon,72.0
Simeon Shkoruta,67.0
Erik Umkeev,72.0
Ryan Boeding,74.0
Noah Boyd,68.0
Johan Cue Carrillo,73.0
Trevor Danner,73.0
Mattia Giurgevich,76.0
Eric Hansson,72.0
Tait Harvey,73.0
Nicholas Heye,71.0
Elliott Irwin,74.0
Matheo Mateos-Mongelos,73.0
David Molina-Fregenal,70.0
Jake Noble,70.0
Jose Ochoa,69.0
Gavin Schulte,73.0
Adam Szczerba,76.0
Patryk Winiatowski,72.0
Luke Asbury,72.0
Noah  Brereton,72.0
Patrick Cramer,75.0
Samuel Davey,71.0
Mason Enthoven,67.0
Louis  Fasani,74.0
Vova Gavrysh,74.0
Kadence Griffin,70.0
David  Hammond,70.0
Finn Moseley,73.0
Brady Murdick,78.0
Carson  Olson,72.0
Joey Ovanic,72.0
Sam  Russell,71.0
Jakub Rynkiewicz,73.0
Calum Shank,72.0
Atticus Sternke,75.0
Domantas  Tarnauskas,77.0
Phineas  Theall,71.0
Keaton  Tottle,72.0
Luis Villalobos Matson,71.0
Caleb Baron,72.0
Tyler Canteen,67.0
Doruk Evcimen,68.0
Tyler Finkle,76.0
AJ Guevara,66.0
Tomas  Jimenez,67.0
Daniel Karamanougian,70.0
Devin Korsak,70.0
Matthew O'Brien,71.0
Jacob Peraza,73.0
Sean Robinson,72.0
Andy Shkolnik,71.0
Joe Swede,76.0
Adam Wright,69.0
Maddox Aramini,67.0
Nicky Byrd,70.0
Ross Caimano,70.0
Joseph  Campise,73.0
Andrew Capella,69.0
Russell Cheng,67.0
Matt Cleveland,68.0
Bastian Dudley,70.0
Anthony Genovese,72.0
Luke Goodspeed,68.0
Dylan Harrison,69.0
Brendan Heaney,71.0
Ben Heyman,68.0
Calvin Hitzschke,72.0
Jack Humphrey,71.0
James  Llewellyn,66.0
Cosmo Martinelli,74.0
Josh Pappace,69.0
Colin Ringwood,69.0
David Scott,70.0
Delroy Tyrrell,72.0
Gavin Weseman,76.0
Benjamin Beldner,73.0
Brandon Berger,73.0
Ryan Board,71.0
Keegan Chatham,70.0
Zachary Ciriaco,66.0
Ryan Cohn,70.0
Nathan DeGuzman,69.0
Christopher Egan,66.0
Christopher Ghim,72.0
Brian Harding,76.0
Jackson Homan,72.0
Sandon Karinsky,70.0
George Kipshidze,73.0
Eric Kroon,77.0
Elijah Lanfear,74.0
Xiaoyu Lin,73.0
Ryan Maierle,75.0
William Maurer,70.0
Justin Meyn,74.0
Liam Murphy,73.0
Oisin O'Sullivan,71.0
Matthew Palguta,74.0
Travis Phillips,73.0
Robert Reining,74.0
Henry Shemet,75.0
Jake  Vecchio,68.0
Matthew Czubachowski,72.0
Nicholas Dolan,73.0
Caleb Ferns,72.0
Nicholas Griffith,76.0
Joseph Guiliano,72.0
Kieran Hassard,72.0
Anthony Laite,69.0
Drew MacDonald,72.0
Kyle Morken,73.0
Peter Vanderwerf,75.0
