Women_name,Women_height
Asha Besaw,61.0
Rory Chea,64.0
Laura Cruz Rosario,63.0
Natalia Cuttler,66.0
Jillian Etnel,63.0
Kristen Flores,61.0
Alexis Hall,68.0
Bianca Hiltz,69.0
Fatima Morrobel,62.0
Melanie Rodriguez,59.0
Nakia Usher,58.0
Julia Wyman,58.0
Scarlet Astudillo,64.0
Joscelyn  Galindo,63.0
Dea Gazheli,63.0
Amanda Lee,61.0
Katherine Lee,62.0
Jillian Quinn,65.0
Aanya Shukul,69.0
Nicole  Tarasiuk,67.0
Joyce  Wong,64.0
Amy Zeng,62.0
Jennifer Alvarado,63.0
Christine  Bailey,62.0
Elizabeth Bailey,64.0
Ayatallah Elkotby,72.0
Hebatallah Elkotby,68.0
Sydney Gdanski,68.0
Hailey Johnston,64.0
Yelyzaveta Kurchak,65.0
Anastasia Kutuzov,65.0
Sameeha Yara Malik Shaik,65.0
Diana Plasencia,65.0
Maria Scutero,63.0
Cierra Stenbar,62.0
Kornelia Buszka,71.0
Laney Fenton,66.0
Morgen Frausto,69.0
Megan Hollaar,69.0
Ellie Lopez,67.0
Adi Luker,70.0
Stephanie Marks,70.0
Adison Marshall,69.0
Beata Maruszczyk,63.0
Joselle Mensah,69.0
Karissa Metzger,67.0
Marlene Pape,68.0
Maja Piotrowicz,73.0
Ashley Richard,64.0
Nina Tasic,67.0
Bayley Thompson,65.0
Linsey Watson,68.0
Saylor Wilson,66.0
Lyssa Wood,69.0
Aurora Abbruscato,66.0
Bianka Bukovics,71.0
Sophia Burwitz,66.0
Terrah DeLorimiere,63.0
Luiza Dias,68.0
McKenzie Fazio,74.0
Chiara Fuerst,67.0
Olivia Fuller,68.0
Atzi Gomez,63.0
Sarah Gormley,66.0
Presley Heitzmann,71.0
Alexis Kachkin,69.0
Natalia Kralova,69.0
Helena  Kurtz,64.0
Tumi Macdonell,68.0
Keianna Moss,68.0
Rylee Sitton,67.0
Caitlyn Sligh,68.0
Karley Sonnenberg,70.0
Olivia Terry,65.0
Logan Wilson,65.0
Jocelyn Zgola,70.0
Fifi  Amanuel,64.0
Julia Caramagna,62.0
Isabella Hanson,70.0
Mairin Huston,63.0
Maddy Joe,62.0
Grace Korey,70.0
Camila Mercado,61.0
Valeria Pages,61.0
Alazne Sudupe,65.0
Magdalen Swat,62.0
Sovy Taylor,65.0
Rachel Vazquez,65.0
Cami Yovich,62.0
Krisztina Balogh,66.0
Emma Bellars,65.0
Abby Burns,65.0
Alisa Dovbnya,68.0
Laney Fenton,66.0
Grace Geyer,71.0
Taylor Jacobson,61.0
Ashley Konz,68.0
Emma Lindecke,65.0
Abbie Masters,63.0
Teagan Powell,69.0
Vivian Ravines,68.0
Faith Ring,63.0
Sydney Stemley,66.0
Braelyn Wilson,65.0
Victoria Zjawin,64.0
Alexandria Bard,66.0
Madeline Boyar,65.0
Ashley Brousseau,69.0
Veronica Coe,66.0
Destiny  Duckworth,64.0
Cadence  Dudley,62.0
Alexis Gibson,67.0
Macayla Hodkinson,66.0
Allison LaBarbera,66.0
Alaska Lilliock,66.0
Anna McCall,66.0
Lena Nakken,69.0
Paige Splendido,65.0
Callie Stinson,64.0
Alyssa Thompson,67.0
Raina Willie,69.0
